epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.964,1.3843,1.54137,1.247,0.85776,0.74213,0.81209,0.48368,1.28353,1.02539,1.10863,0.00332935,0.00332935,0.00332935
2,577.123,1.2938,0.97249,1.1153,0.85643,0.71983,0.80141,0.49225,1.2978,0.90231,1.12759,0.00653076,0.00653076,0.00653076
3,855.233,1.3191,0.91629,1.13386,0.87823,0.68646,0.77362,0.47866,1.3611,0.8905,1.15532,0.00960018,0.00960018,0.00960018
4,1127,1.33108,0.90508,1.15021,0.88127,0.73457,0.81974,0.52176,1.28573,0.77566,1.13342,0.009406,0.009406,0.009406
5,1397.67,1.29962,0.85154,1.13667,0.88022,0.73457,0.81777,0.52558,1.25092,0.75364,1.11691,0.009208,0.009208,0.009208
6,1684.27,1.28709,0.82355,1.12817,0.88443,0.75736,0.83652,0.54245,1.23783,0.70992,1.10898,0.00901,0.00901,0.00901
7,1959.85,1.26302,0.78891,1.11529,0.89176,0.75629,0.83899,0.54727,1.2347,0.68913,1.10883,0.008812,0.008812,0.008812
8,2236.72,1.25096,0.77058,1.11287,0.8948,0.77228,0.84609,0.55184,1.22528,0.67213,1.10056,0.008614,0.008614,0.008614
9,2517.52,1.23479,0.75143,1.10235,0.87662,0.78093,0.85687,0.56091,1.20939,0.65904,1.09386,0.008416,0.008416,0.008416
10,2788.52,1.22312,0.73401,1.09972,0.88396,0.78156,0.8617,0.56417,1.20145,0.63791,1.0965,0.008218,0.008218,0.008218
11,3055.04,1.22484,0.72602,1.09719,0.89523,0.79152,0.86429,0.56766,1.18816,0.63197,1.07924,0.00802,0.00802,0.00802
12,3352.13,1.21434,0.71446,1.09285,0.87782,0.7957,0.86286,0.56949,1.19311,0.63095,1.07873,0.007822,0.007822,0.007822
13,3633.43,1.21282,0.70989,1.08995,0.87608,0.80008,0.86743,0.57335,1.1843,0.62456,1.08188,0.007624,0.007624,0.007624
14,3906.96,1.19996,0.70167,1.08842,0.89407,0.79492,0.86896,0.57748,1.17996,0.60608,1.07968,0.007426,0.007426,0.007426
15,4206.87,1.19933,0.694,1.08475,0.88329,0.80028,0.87212,0.57564,1.18507,0.60864,1.07804,0.007228,0.007228,0.007228
16,4504.48,1.19593,0.68559,1.08069,0.8946,0.81128,0.87851,0.58444,1.16972,0.58857,1.06733,0.00703,0.00703,0.00703
17,4774.86,1.18538,0.67485,1.07728,0.89587,0.80347,0.87616,0.58146,1.1722,0.5845,1.07636,0.006832,0.006832,0.006832
18,5053.97,1.19128,0.67314,1.07558,0.88569,0.80745,0.87626,0.58331,1.16351,0.5889,1.06521,0.006634,0.006634,0.006634
19,5318.05,1.17968,0.66668,1.07511,0.89566,0.80506,0.87851,0.58747,1.16362,0.58029,1.06642,0.006436,0.006436,0.006436
20,5584.03,1.18345,0.66423,1.07397,0.88271,0.81972,0.8832,0.5899,1.15687,0.56774,1.06415,0.006238,0.006238,0.006238
21,5848.74,1.17208,0.65522,1.07012,0.89218,0.8156,0.88667,0.59266,1.15807,0.5623,1.05986,0.00604,0.00604,0.00604
22,6109.69,1.17132,0.64803,1.06738,0.89912,0.81501,0.88508,0.59378,1.15575,0.55843,1.06564,0.005842,0.005842,0.005842
23,6375.46,1.16453,0.64933,1.06737,0.89452,0.81183,0.8856,0.59158,1.15192,0.56141,1.06255,0.005644,0.005644,0.005644
24,6638.98,1.15832,0.63716,1.06033,0.8861,0.82262,0.8842,0.59256,1.15122,0.55142,1.06023,0.005446,0.005446,0.005446
25,6907.57,1.15264,0.62944,1.06214,0.89802,0.82159,0.89032,0.59795,1.14577,0.54522,1.05794,0.005248,0.005248,0.005248
26,7185.03,1.14516,0.6207,1.05725,0.89309,0.82517,0.89033,0.59853,1.14953,0.53952,1.06037,0.00505,0.00505,0.00505
27,7467.92,1.14936,0.62667,1.05715,0.89224,0.81601,0.88986,0.59834,1.14467,0.53883,1.0568,0.004852,0.004852,0.004852
28,7750,1.15278,0.62385,1.05819,0.89431,0.82258,0.88983,0.59831,1.14289,0.53712,1.05194,0.004654,0.004654,0.004654
29,8016.04,1.13906,0.61191,1.05632,0.89279,0.8274,0.8932,0.60076,1.14083,0.52912,1.05283,0.004456,0.004456,0.004456
30,8291.74,1.14132,0.61354,1.05377,0.89524,0.82178,0.89187,0.60097,1.13438,0.52682,1.04899,0.004258,0.004258,0.004258
31,8566.11,1.14142,0.60526,1.05332,0.89251,0.82836,0.89273,0.60233,1.13526,0.52648,1.05115,0.00406,0.00406,0.00406
32,8831.42,1.12774,0.59777,1.04883,0.90742,0.82417,0.8934,0.60326,1.13248,0.52387,1.04859,0.003862,0.003862,0.003862
33,9100.45,1.13118,0.59628,1.0445,0.89829,0.82836,0.89282,0.60337,1.13346,0.51897,1.04674,0.003664,0.003664,0.003664
34,9379.61,1.13088,0.59228,1.04876,0.89598,0.83055,0.89528,0.60341,1.13566,0.52095,1.04897,0.003466,0.003466,0.003466
35,9658.91,1.11984,0.5868,1.04554,0.90377,0.82849,0.89512,0.60238,1.14057,0.51659,1.05317,0.003268,0.003268,0.003268
36,9942.44,1.11922,0.5861,1.04348,0.89141,0.83333,0.8947,0.60399,1.13326,0.51334,1.04945,0.00307,0.00307,0.00307
37,10225.2,1.12279,0.58043,1.04449,0.89864,0.83234,0.89565,0.60467,1.13469,0.51625,1.04936,0.002872,0.002872,0.002872
38,10498,1.11582,0.57466,1.04238,0.90356,0.82649,0.89532,0.60567,1.13148,0.51533,1.04797,0.002674,0.002674,0.002674
39,10771.9,1.11111,0.57101,1.04191,0.89956,0.83109,0.89591,0.60643,1.12817,0.51402,1.04624,0.002476,0.002476,0.002476
40,11041.6,1.10778,0.56964,1.03872,0.89466,0.83204,0.89564,0.6065,1.12739,0.51401,1.04459,0.002278,0.002278,0.002278
41,11349.5,1.10052,0.53037,1.02967,0.88755,0.83692,0.89473,0.60563,1.13118,0.51372,1.04206,0.00208,0.00208,0.00208
42,11616.9,1.09642,0.52548,1.03227,0.90214,0.82616,0.89502,0.60456,1.1325,0.51578,1.04743,0.001882,0.001882,0.001882
43,11885.2,1.09253,0.51905,1.03294,0.89946,0.82484,0.8934,0.60578,1.13046,0.51483,1.05048,0.001684,0.001684,0.001684
44,12150.8,1.08734,0.51228,1.02795,0.90458,0.82298,0.89403,0.60623,1.12964,0.51705,1.04898,0.001486,0.001486,0.001486
45,12418.7,1.08214,0.50787,1.02346,0.91183,0.8178,0.89401,0.60692,1.12806,0.51476,1.04585,0.001288,0.001288,0.001288
46,12684.1,1.07572,0.50008,1.02033,0.89989,0.82816,0.89421,0.60764,1.12767,0.5135,1.04525,0.00109,0.00109,0.00109
47,12950,1.07364,0.49354,1.01824,0.90438,0.82517,0.89434,0.60706,1.12645,0.51282,1.04486,0.000892,0.000892,0.000892
48,13216.1,1.06857,0.48776,1.01418,0.89788,0.83134,0.89383,0.60719,1.12681,0.51354,1.04275,0.000694,0.000694,0.000694
49,13482.3,1.06211,0.48108,1.01061,0.90531,0.82437,0.89449,0.60765,1.12631,0.51202,1.04117,0.000496,0.000496,0.000496
50,13751,1.06099,0.4791,1.01153,0.90706,0.82395,0.89394,0.60736,1.12789,0.51098,1.04226,0.000298,0.000298,0.000298
